A-01,A-02,A-03,A-04,A-05,A-06,A-07,A-08,A-09,A-10,A-11,A-12,A-13,A-14,A-15,A-16,A-17,A-18,A-19,A-20,A-21,A-22,A-23,A-24,A-25,A-26,A-27,A-28,A-29,A-30,A-31,A-32,A-33,A-34,A-35,A-36,A-37,A-38,A-39,A-40,A-41,A-42,A-43,A-44,A-45,A-46,A-47,A-48,A-49,A-50,A-51,A-52,A-53,A-54,A-55,A-56,A-57,A-58,A-59,A-60,A-61,A-62,A-63,B-01,B-02,B-03,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-13,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,B-24,B-25,B-26,B-27,B-28,B-29,B-30,B-31,B-32,B-33,B-34,B-35,B-36,Batch name,Batch CIE L,Batch CIE a,Batch CIE b,CIE DL,CIE Da,CIE Db,CIE DE,Findings
,,,,,,3,,,3,,,,,,,,,,,,,18,,,,,,,,,,22,45,,,,12,,,,,,,,,100,,100,,,,300,,,500,,,,,,,,,10,,,,,,,,,1.1,,0.06,,,,,,,,,,,,,,,,,,,,0.115,,,,2,63.84,-0.04,3.46,0.93,0.18,0.15,0.96,unqualified
,,,,,,3,,,3,,,,,,,,,,,,,18,,,,,,,,,,22,45,,,,12,,,,,,,,,100,,100,,,,300,,,500,,,,,,,,,10,,,,,,,,,1.1,,0.06,,,,,,,,,,,,,,,,,,,,0.126,,,,3,62.61,-0.09,2.96,-0.3,0.13,-0.35,0.47,warnings
,,,,,,3,,,3,,,,,,,,,,,,,18,,,,,,,,,,22,45,,,,12,,,,,,,,,100,,100,,,,300,,,500,,,,,,,,,10,,,,,,,,,1.13,,0.05,,,,,,,,,,,,,,,,,,,,0.123,,,,4,63.31,-0.18,3.1,0.4,0.03,-0.21,0.45,warnings
,,,,,,3,,,3,,,,,,,,,,,,,18,,,,,,,,,,22,45,,,,12,,,,,,,,,100,,100,,,,300,,,500,,,,,,,,,10,,,,,,,,,1.15,,0.05,,,,,,,,,,,,,,,,,,,,0.1245,,,,5,63.19,-0.18,3.08,0.28,0.04,-0.23,0.37,qualified
,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,100,,100,,,,,,,,,,,,85,,,,16,,,,,,,,,0.045,,,,,,0.001,,,,,,,,,,,,,,,,0.091,,,,1,72.36,-0.85,2.04,2.62,-0.06,-1.17,2.87,unqualified
,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,100,,100,,,,,,,,,,,,85,,,,16,,,,,,,,,0.048,,,,,,0.004,,,,,,,,,,,,,,,,0.09,,,,2,69.92,-0.6,2.53,0.18,0.19,-0.68,0.73,unqualified
,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,100,,100,,,,,,,,,,,,85,,,,16,,,,,,,,,0.0534,,,,,,0.0042,,,,,,,,,,,,,,,,0.0945,,,,3,70,-0.39,3.27,0.27,0.4,0.07,0.49,warnings
,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,100,,100,,,,,,,,,,,,85,,,,16,,,,,,,,,0.048,,,,,,0.004,,,,,,,,,,,,,,,,0.09,,,,4,70.2,-1.06,3.14,0.47,-0.27,-0.07,0.54,unqualified
,,,2.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,30.5,,,33,34,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,10,,,,,,,,,0.7,,0.01,,,,,,,,,,,,,,,,,,,,0.03,,,,1,75.13,1.02,5.38,1.07,0.04,-0.12,1.08,unqualified
,,,2.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,30.5,,,33,34,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,10,,,,,,,,,0.56,,0.05,,,,,,,,,,,,,,,,,,,,0.03,,,,2,74.94,1.04,5.52,0.88,0.06,0.02,0.88,unqualified
,,,2.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,30.5,,,33,34,,,,,,,,,400,,,,100,,100,,,300,,,,,,,,,,,,,10,,,,,,,,,0.595,,0.063,,,,,,,,,,,,,,,,,,,,0.0315,,,,3,74.49,0.97,5.42,0.44,-0.01,-0.08,0.45,warnings
,,,,10,,2,,,,,,,,,,,,200,,,,,12,,,,8,,,,,,,,,,,16,34,8,,,,,150,150,,150,,,300,,10,,,,,,,,,,,10,,,,,,,,,2,,0.5,,,,,,,,,,,,,,,,,,,,0.8,,,,1,42.12,0.57,-0.02,1.91,0.41,0.29,1.97,unqualified
,,,,10,,2,,,,,,,,,,,,200,,,,,12,,,,8,,,,,,,,,,,16,34,8,,,,,150,150,,150,,,300,,10,,,,,,,,,,,10,,,,,,,,,2,,0.5,,,,,,,,,,,,,,,,,,,,1,,,,2,39.78,0.42,-0.22,-0.44,0.25,0.1,0.51,unqualified
,,,,10,,2,,,,,,,,,,,,200,,,,,12,,,,8,,,,,,,,,,,16,34,8,,,,,150,150,,150,,,300,,10,,,,,,,,,,,10,,,,,,,,,1,,0.2,,,,,,,,,,,,,,,,,,,,0.9,,,,3,40.63,0.1,-1.1,0.41,-0.07,-0.79,0.89,unqualified
,,,,10,,2,,,,,,,,,,,,200,,,,,12,,,,8,,,,,,,,,,,16,34,8,,,,,150,150,,150,,,300,,10,,,,,,,,,,,10,,,,,,,,,1.5,,0.3,,,,,,,,,,,,,,,,,,,,0.9,,,,4,41,0.19,-0.58,0.78,0.02,-0.26,0.83,unqualified
,,,,10,,2,,,,,,,,,,,,200,,,,,12,,,,8,,,,,,,,,,,16,34,8,,,,,150,150,,150,,,300,,10,,,,,,,,,,,10,,,,,,,,,1.6,,0.315,,,,,,,,,,,,,,,,,,,,0.945,,,,5,40.36,0.21,-0.7,0.15,0.04,-0.38,0.41,qualified
,,,2.5,,,2,,1,,,,,,,,,,,,,,,,,,,,,,27.5,,,68,,,,,,,,,,,,,100,,100,,,,300,,,,,,,,,,,,,,,,,,,,,2,,4,,,,,,,,,,,,,,,,,,,15,,,,,1,28.09,0.05,0.05,0.42,0.02,0.3,0.52,unqualified
,,,2.5,,,2,,1,,,,,,,,,,,,,,,,,,,,,,27.5,,,68,,,,,,,,,,,,,100,,100,,,,300,,,,,,,,,,,,,,,,,,,,,1.4,,3.6,,,,,,,,,,,,,,,,,,,22,,,,,2,28.04,0.09,0.04,0.38,0.05,0.29,0.48,warnings
,,,2.5,,,2,,1,,,,,,,,,,,,,,,,,,,,,,27.5,,,68,,,,,,,,,,,,,100,,100,,,,300,,,,,,,,,,,,,,,,,,,,,1.6,,3.73,,,,,,,,,,,,,,,,,,,19.6,,,,,3,27.64,0.02,-0.31,-0.03,-0.01,-0.05,0.06,qualified
,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,10,,,,,,,,,,100,,100,,,,200,,85,,,,,,,,,,,,,,,,,,,1.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,10,1,28.31,-0.14,-0.75,0.76,-0.08,0.29,0.81,unqualified
,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,10,,,,,,,,,,100,,100,,,,200,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,27.42,-0.2,-0.95,-0.14,-0.14,0.09,0.22,qualified
,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,10,,,,,,,,,,100,,100,,,,200,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,20,3,27.47,-0.13,-1.02,-0.08,-0.07,0.03,0.11,qualified
,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,10,,,,,,,,,,100,,100,,,,200,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,20,4,27.59,-0.06,-1.1,0.04,0,-0.05,0.07,qualified
,,,2.5,,,,,1,,,,,,,,,,,,,,,,,,,,,25,,,37,36,,,,,,,,,,,,,100,,100,,,300,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,12,,,1,27.39,-0.08,-1.08,0.17,0.16,0.35,0.42,warnings
,,,2.5,,,,,1,,,,,,,,,,,,,,,,,,,,,25,,,37,36,,,,,,,,,,,,,100,,100,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,12,,,2,26.74,-0.18,-1.22,-0.49,0.05,0.21,0.53,unqualified
,,,2.5,,,,,1,,,,,,,,,,,,,,,,,,,,,25,,,37,36,,,,,,,,,,,,,100,,100,,,300,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,12,,,3,27.11,-0.16,-1.34,-0.12,0.07,0.09,0.17,qualified
,,,2.5,,,,,1,,,,,,,,,,,,,,,,,,,,,25,,,37,36,,,,,,,,,,,,,100,,100,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,12,,,4,26.87,-0.06,-1.3,-0.35,0.18,0.12,0.41,warnings
,,,2.5,,,,,1,,,,,,,,,,,,,,,,,,,,,25,,,37,36,,,,,,,,,,,,,100,,100,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,12,,,5,27.62,0.1,-1.23,0.4,0.34,0.19,0.56,unqualified
,,,2.5,,,,,1,,,,,,,,,,,,,,,,,,,,,25,,,37,36,,,,,,,,,,,,,100,,100,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,12,,,6,26.76,-0.19,-1.4,-0.46,0.05,0.02,0.47,warnings
